author,birth_death
Friedrich Waismann,(1896–1959)
Friedrich von Hügel,(1852–1925)
Fritz Mauthner,(1849–1923)
Fujiwara Seika,(1561–1619)
Fyodor Dostoyevsky,(1821–1881)
Félix Guattari,(1930–1992)
G. E. M. Anscombe,(1918–2001)
G. E. Moore,(1873–1958)
G.A. Cohen,(1941–2009)
G.W.F. Hegel,(1770–1831)
Gabriel Biel,(1425–1495)
Gabriel Marcel,(1887–1973)
Gabriel Vazquez,(1549–1604)
Gabrielle Suchon,(1631–1703)
Gadadhara Bhattacharya,(1604–1709)
Gaetano Mosca,(1858–1941)
Gaius,(110–180)
Gaius Marius Victorinus,(4th century)
Galen,(131–201)
Galen Strawson,(born 1952)
Galileo Galilei,(1564–1642)
Gangeśa,(fl. c. 1325)
Gareth Evans,(1946–1980)
Gaston Bachelard,(1884–1962)
Gaston Milhaud,(1858–1918)
Gaunilo,(11th century)
Gayatri Chakravorty Spivak,(born 1942)
Gemistus Pletho,(c. 1355 – c. 1452)
Genevieve Lloyd,(born 1941)
Geoffrey J. Warnock,(1923–1996)
Georg Bernhard Bilfinger,(1693–1750)
Georg Cantor,(1845–1918)
Georg Christoph Lichtenberg,(1742–1799)
Georg Friedrich Meier,(1718–1777)
Georg Henrik von Wright,(1916–2003)
Georg Kreisel,(1923–2015)
Georg Lukács,(1885–1971)
Georg Simmel,(1858–1918)
George Berkeley,(1685–1753)
George Boole,(1815–1864)
George Campbell,(1719–1796)
George Eliot,(1819–1880)
George Frederick Stout,(1860–1944)
George Herbert Mead,(1863–1931)
George Howison,(1834–1916)
George Santayana,(1863–1952)
George Steiner,(1929–2020)
George Turnball,(1698–1748)
George merill,(1867-1928)
George of Trebizond,(1395–1484)
Georges Bataille,(1897–1962)
Georges Canguilhem,(1904–1995)
Georges Florovsky,(1893–1979)
Georges Sorel,(1847–1922)
"Georges-Louis Leclerc, Comte de Buffon",(1707–1788)
Georgi Plekhanov,(1856–1918)
Gerard of Cremona,(1114–1187)
Gerard of Odo,(1290–1349)
Geraud de Cordemoy,(1626–1684)
Gerbert of Aurillac,(c. 950–1003)
Gerhard Gentzen,(1909–1945)
Germain Grisez,(1929–2018)
Gerolamo Cardano,(1501–1576)
Gershom Carmichael,(c. 1672 – 1729)
Gershom Scholem,(1897–1982)
Gersonides,(1288–1344)
Giacinto Sigismondo Gerdil,(1718–1802)
Giacomo Leopardi,(1798–1837)
Giambattista Vico,(1668–1744)
Giambattista della Porta,(c. 1535–1615)
Gian-Carlo Rota,(1932–1999)
Gianni Vattimo,(born 1936)
Gilbert Harman,(1938–2021)
Gilbert Ryle,(1900–1976)
Gilbert of Poitiers,(1070–1154)
Giles of Rome,(c. 1243–1316)
Gilles Deleuze,(1925–1995)
Giordano Bruno,(1548–1600)
Giorgio Del Vecchio,(1878–1970)
Giovanni Gentile,(1875–1944)
Giovanni Papini,(1881–1956)
Giovanni Pico della Mirandola,(1463–1494)
Giulio Cesare Vanini,(1585–1619)
Giuseppe Peano,(1858–1932)
Godfrey of Fontaines,(c. 1250–1309)
Gongsun Longzi,(c. 300 BC)
Gorampa,(1429–1489)
Gorgias,(c. 483–375 BC)
Gottfried Benn,(1886–1956)
Gottfried Leibniz,(1646–1716)
Gottfried Ploucquet [de],(1716–1790)
Gotthold Ephraim Lessing,(1729–1781)
Gottlob Ernst Schulze,(1761–1833)
Gottlob Frege,(1848–1925)
Gregor Mendel,(1822–1884)
Gregory Vlastos,(1907–1991)
Gregory of Nazianzus,(329–389)
Gregory of Nyssa,(c. 335–398)
Gregory of Rimini,(d. 1358)
Guan Zhong,(740–645 BC)
Guillaume du Vair,(1556–1621)
Guo Xiang,(c. 252–312)
Gustav Bergmann,(1906–1987)
Gustav Fechner,(1801–1887)
Gustav Gustavovich Shpet,(1879–1937)
Gustav Radbruch,(1878–1949)
Gustav Teichmuller,(1837–1888)
Gustave Belot,(1859–1929)
Guy Debord,(1931–1994)
Gwenaëlle Aubry,(born 1971)
Gwilyn Ellis Lane Owen,(1922–1982)
György Mihály Vajda,(born 1935)
Gáspár Miklós Tamás,(1948–2023)
H. L. A. Hart,(1907–1992)
H. Richard Niebuhr,(1894–1962)
Han Feizi,(died 233 BC)
Han Yu,(768–824)
Hannah Arendt,(1906–1975)
Hans Adolf Eduard Driesch,(1867–1941)
Hans Albert,(born 1921)
Hans Christian Ørsted,(1777–1851)
Hans Frei,(1922–1988)
Hans Kelsen,(1881–1973)
Hans Reichenbach,(1891–1953)
Hans Vaihinger,(1852–1933)
Hans-Georg Gadamer,(1900–2002)
Hao Wang,(1921–1995)
Harald Høffding,(1843–1931)
Harold Arthur Prichard,(1871–1947)
Harriet Martineau,(1802–1876)
Harriet Taylor Mill,(1807–1858)
Harry Gordon Frankfurt,(born 1929)
Hartry Field,(born 1946)
Hasdai Crescas,(c. 1340–1410)
Hassan Hanafi,(1935–2021)
Hastings Rashdall,(1858–1924)
Hayashi Razan,(1583–1657)
Hector-Neri Castañeda,(1924–1991)
Heinrich Christoph Wilhelm Sigwart,(1789–1844)
Heinrich Cornelius Agrippa,(1486–1535)
Heinrich Czolbe,(1819–1873)
Heinrich Rickert,(1863–1936)
Heinrich Rudolf Hertz,(1857–1894)
Heinrich Scholz,(1884–1956)
Heinrich von Kleist,(1777–1811)
Helmut Reichelt,(born 1939)
Helmut Thielicke,(1908–1986)
Helmuth Plessner,(1892–1985)
Henri Bergson,(1859–1941)
Henri Lefebvre,(1901–1991)
Henri Poincaré,(1854–1912)
Henri de Boulainvilliers,(1658–1722)
Henricus Regius,(1598–1679)
Henry Babcock Veatch,(1911–1997)
Henry Corbin,(1903–1978)
Henry David Thoreau,(1817–1862)
Henry Habberley Price,(1899–1984)
"Henry Home, Lord Kames",(1696–1782)
Henry James Sr.,(1811–1882)
Henry Longueville Mansel,(1820–1871)
Henry More,(1614–1687)
Henry Sidgwick,(1838–1900)
"Henry St John, 1st Viscount Bolingbroke",(1678–1751)
Henry Stanton,(1805–1887)
Henry Suso,(1300–1366)
Henry Thomas Buckle,(1821–1862)
Henry of Ghent,(c. 1217–1293)
Henry of Harclay,(1270–1317)
Heraclides Ponticus,(387–312 BC)
Heraclitus of Ephesus,(ca. 535–475 BC)
Herbert Feigl,(1902–1988)
Herbert Marcuse,(1898–1979)
Herbert Paul Grice,(1913–1988)
Herbert Spencer,(1820–1903)
Herbert Spiegelberg,(1904–1990)
Herman Dooyeweerd,(1894–1977)
Hermann Cohen,(1842–1918)
Hermann Friedrich Wilhelm Hinrichs,(1794–1861)
Hermann Graf Keyserling,(1880–1946)
Hermann Lotze,(1817–1881)
Hermann Samuel Reimarus,(1694–1768)
Hermann Ulrici,(1806–1884)
Hermann Weyl,(1885–1955)
Hermann von Helmholtz,(1821–1894)
Hervaeus Natalis,(1250–1323)
Hesiod,(c. 700 BC)
Hibat Allah Abu'l-Barakat al-Baghdaadi,(1080–1165)
Hierocles the Stoic,(2nd century)
Hilary Greaves,(born 1978)
Hilary Putnam,(1926–2016)
Hildegard of Bingen,(1098–1179)
Hillel ben Samuel of Verona,(1220–1295)
Hipparchia of Maroneia,(c. 350 BC – c. 280 BC)
Hippias,(5th century BC)
Hippocrates,(460–380 BC)
Hippolyte Taine,(1828–1893)
Ho Yen,(190–249)
Homer,(c. 700 BC)
Hossein Nasr,(born 1933)
Houston Stewart Chamberlain,(1855–1927)
Hryhori Skovoroda,(1722–1794)
Hsi K'ang,(223–262)
Hsiung Shih-li,(1885–1968)
Hsu Fu-kuan,(1903–1982)
Hsu Hsing,(c. 300 BC)
Hu Hung,(1100–1155)
Hu Shih,(1891–1962)
Huai Nun Tzu,(179–122 BC)
Huang Zongxi,(1610–1695)
Hubert Damisch,(1928–2017)
Hubert Schleichert,(1935–2020)
Hugh Blair,(1718–1800)
Hugh of St Victor,(c. 1078–1141)
Hughes Felicité Robert de Lamennais,(1752–1854)
Hugo Dingler,(1881–1954)
Hugo Grotius,(1583–1645)
Hui Shi,(4th century BC)
Huston Smith,(1919–2016)
