author,birth,death
Jean-Pierre Faye,1925,
Jean-Pierre Louis de Fontanes,1757,1821
Jean-Pierre Poccioni,1948,
Jean-Pierre Siméon,1950,
Jean-Pierre Thiollet,1956,
Jean-Pierre Vallotton,1955,
Jean-Pierre Verheggen,1942,
Jean-René Guay,1938,2001
Jeanne Loiseau,1854,1921
Jeanne Tomasini,1920,
Jeanne de Sobol,xixe siècle,
Jeanne de Tallenay,1869,1920
Jeannette D. Ahonsou,1954,
Jennifer Richard,1980,
Jennifer Tellier,1970,
Jessica Fièvre,1981,
Joachim du Bellay,1522,1560
John Dubouchet,1937,
Joris-Karl Huysmans,1848,1907
Joseph Delteil,1894,1978
Joseph Fiévée,1767,1839
Joseph François Marie Malherbe,1733,1827
Joseph Joffo,1931,
Joseph Malègue,1898,1940
Joseph Marmette,1844,1895
Joseph Quesnel,1746,1809
Joseph Sanial-Dubay,1754,1817
Joseph Vasselier,1735,1798
Joseph-Edmond Roy,1858,1913
Joseph-François-Gabriel Hennequin,1775,1842
José Tshisungu wa Tshisungu,1954,
José de Bérys,1883,1957
José-Maria de Heredia,1842,1905
Joë Bousquet,1897,1950
Joël Egloff,1970,
Joël de Rosnay,1937,
Joëlle Germaine de Staël,1939,2016
Jules Barbey d'Aurevilly,1808,1889
Jules Laforgue,1860,1887
Jules Lermina,1839,1915
Jules Michelet,1798,1874
Jules Moinaux,1815,1896
Jules Renard,1864,1910
Jules Romains,1885,1972
Jules Roy,1907,2000
Jules Sandeau,1811,1883
Jules Simon Troubat,1836,1914
Jules Supervielle,1884,1960
Jules Tellier,1863,1889
Jules Vallès,1832,1885
Jules Verne,1828,1905
Jules de Goncourt,1830,1870
Jules-Paul Tardivel,1851,1905
Julie Annen,1980,
Julie Ewa,1991,
Julie Stanton,1938,
Julien Campredon,1978,
Julien Gracq,1910,2007
Julien Green,1900,1998
Julien Torma,1902,1933
Juliette Benzoni,1920,
Julos Beaucarne,1932,
Jérémie Lefebvre,1972,
Jérôme Touzalin,xxie siècle,
Kama Sywor Kamanda,1952,
Karel Logist,1962,
Karelle Ménine,xxe siècle,
Karim Amellal,1978,
Kate Milie,,
Kevin Bokeili,1963,
Khal Torabully,1956,
Khalil Diallo,1992,
Kikou Yamata,1897,1975
Laetitia Boqui-Queni,1986,
Laetitia Constant,1981,
Lamine Kamara,1940,
Lanza del Vasto,1901,1981
Laure Conan,1845,1924
Laure Junot d'Abrantès,1784,1838
Laure Manel,1978,
Lauren Conti,1955,
Laurence Catinot-Crost,1958,
Laurence Dudek,1968,
Laurent Gaudé,1972,
Laurent Grison,1963,
Laurent LD Bonnet,1957,
Laurent Laurent,xxe siècle,
Laurent Mourey,1974,
Laurent Mérer,1948,
Laurent Poujois,1964,
Laurent Ségalen,1954,
Laurent de Graeve,1969,2001
Leconte de Lisle,1818,1894
Lenka Horňáková-Civade,(cs),
Leslie Kaplan,1943,
Leïla Aouchal,1936,2013
Leïla Bouherrafa,1989,
Liesel Schiffer,1962,
Liliane Robin,1925,1993
Liliane Wouters,1930,2016
Linda Maria Baros,1981,
Lionel Koechlin,1948,
Lionel Marek,1946,
Lise Bissonnette,1945,
Louis Althusser,1918,1990
Louis Anseaume,1721,1784
Louis Aragon,1897,1982
Louis Artus,1870,
Louis Beuve,1869,1949
Louis Calaferte,1928,1994
Louis Caron,1942,
Louis Dantin,1865,1945
Louis Guilloux,1899,1980
Louis Hémon,1880,1913
Louis Pergaud,1882,1915
Louis Petit de Bachaumont,1690,1771
Louis Poinsinet de Sivry,1733,1804
Louis Scutenaire,1905,1987
Louis Émond,1969,
Louis-Ferdinand Céline,1894,1961
Louis-Honoré Fréchette,1839,1908
Louis-Jean-Baptiste Simonet de Maisonneuve,1745,1819
Louise Ackermann,1813,1890
Louise Drevet,1835,1898
Louise Labé,1524,1566
Louise Weiss,1893,1983
Louise de Vilmorin,1902,1969
Loup Durand,1933,1995
Loïc Barrière,1967,
Luc Durtain,1881,1959
"Luc de Clapiers, marquis de Vauvenargues",1715,1747
Lucien Francoeur,1948,
Lucien Rebatet,1903,1972
Ludovic Deblois,1977,
Ludovic Janvier,1934,
Lémy Lémane Coco,1951,
Léo Dartey,1898,1990
Léo Malet,1909,1996
Léon Abric,1869,1942
Léon Aréga,1908,
Léon Bloy,1846,1917
Léon Daudet,1867,1942
Léon Dierx,1838,1912
Léon Gautier,1832,1897
Léopold Sédar Senghor,1906,2001
Madame Conrad Bastien,1888,1889
Madame Guyon,1648,1717
Madame de Beaumer,1766,
Madeleine Ferron,1922,
Madeleine Ouellette-Michalska,,
Madeleine Truel,1904,1945
Madeleine de Scudéry,1607,1701
Magali,1898,1986
Maggy Corrêa,,
Magyd Cherfi,1962,
Mahoua S. Bakayoko,1969,
Maine de Biran,1766,1824
Malcolm de Chazal,1902,1981
Mamadou Mahmoud N'Dongo,1970,
Mame Seck Mbacké,xxe siècle,
Marc Cantin,1967,
Marc Fumaroli,1932,
Marc Levy,1961,
Marc Magro,1965,
